sentiment,lang,sentence
negative,es,"Las acciones europeas cayeron a un mínimo de 16 meses debido a los temores de una guerra comercial global."
negative,fr,"Les actions européennes ont chuté à un plus bas de 16 mois en raison des craintes d'une guerre commerciale mondiale."
negative,de,"Europäische Aktien fielen auf ein 16-Monats-Tief aufgrund von Befürchtungen eines globalen Handelskriegs."
negative,es,"El índice bancario europeo cayó un 4,8%, entrando en territorio bajista por temor a una recesión inducida por aranceles."
negative,fr,"L'indice bancaire européen a chuté de 4,8%, entrant en territoire baissier par crainte d'une récession induite par les tarifs."
negative,de,"Der europäische Bankenindex fiel um 4,8% und geriet aufgrund von Rezessionsängsten durch Zölle in einen Bärenmarkt."
negative,es,"El crecimiento del PIB de la eurozona se proyecta en un 0,9% para 2025, reflejando una desaceleración económica."
negative,fr,"La croissance du PIB de la zone euro est projetée à 0,9% pour 2025, reflétant un ralentissement économique."
negative,de,"Das BIP-Wachstum der Eurozone wird für 2025 auf 0,9% prognostiziert, was eine wirtschaftliche Verlangsamung widerspiegelt."
negative,es,"El índice STOXX 600 cayó un 5,8%, continuando su racha de pérdidas debido a las tensiones comerciales."
negative,fr,"L'indice STOXX 600 a chuté de 5,8%, poursuivant sa série de pertes en raison des tensions commerciales."
negative,de,"Der STOXX 600 Index fiel um 5,8% und setzte seine Verlustserie aufgrund der Handelskonflikte fort."
negative,es,"El rendimiento de los bonos alemanes a 10 años cayó al 0,25% en medio de la incertidumbre del mercado."
negative,fr,"Le rendement des obligations allemandes à 10 ans est tombé à 0,25% en raison de l'incertitude du marché."
negative,de,"Die Rendite der 10-jährigen deutschen Anleihen fiel auf 0,25% aufgrund der Marktunsicherheit."
negative,es,"La confianza del consumidor en la eurozona cayó a -14,5 en marzo de 2025, el nivel más bajo en tres meses."
negative,fr,"La confiance des consommateurs dans la zone euro est tombée à -14,5 en mars 2025, son niveau le plus bas en trois mois."
negative,de,"Das Verbrauchervertrauen in der Eurozone fiel im März 2025 auf -14,5, den niedrigsten Stand seit drei Monaten."
negative,es,"Las ventas minoristas en la eurozona disminuyeron un 0,5% en febrero de 2025, reflejando una menor confianza del consumidor."
negative,fr,"Les ventes au détail dans la zone euro ont diminué de 0,5% en février 2025, reflétant une baisse de la confiance des consommateurs."
negative,de,"Die Einzelhandelsumsätze in der Eurozone sanken im Februar 2025 um 0,5%, was auf ein geringeres Verbrauchervertrauen hindeutet."
negative,es,"El índice de producción industrial en la eurozona disminuyó un 0,2% en febrero de 2025, según datos recientes."
negative,fr,"L'indice de la production industrielle dans la zone euro a diminué de 0,2% en février 2025, selon les données récentes."
negative,de,"Der Industrieproduktionsindex in der Eurozone sank im Februar 2025 um 0,2%, laut aktuellen Daten."
negative,es,"El euro se depreció frente al dólar, cotizando a 1,08 en el mercado de divisas."
negative,fr,"L'euro s'est déprécié face au dollar, s'échangeant à 1,08 sur le marché des changes."
negative,de,"Der Euro wertete gegenüber dem Dollar ab und wurde am Devisenmarkt bei 1,08 gehandelt."
negative,es,"La tasa de desempleo en la eurozona aumentó a 6,5% en febrero de 2025, según Eurostat."
negative,fr,"Le taux de chômage dans la zone euro a augmenté à 6,5% en février 2025, selon Eurostat."
negative,de,"Die Arbeitslosenquote in der Eurozone stieg im Februar 2025 auf 6,5%, laut Eurostat."
negative,es,"El índice de precios al productor en la eurozona aumentó un 0,4% en marzo de 2025, indicando presiones inflacionarias."
negative,fr,"L'indice des prix à la production dans la zone euro a augmenté de 0,4%"
