sentiment,lang,sentence
positive,es,"El índice DAX alemán alcanzó un máximo histórico antes de las elecciones federales, reflejando la confianza del mercado en la estabilidad política."
positive,fr,"L'indice DAX allemand a atteint un niveau record avant les élections fédérales, reflétant la confiance du marché dans la stabilité politique."
positive,de,"Der deutsche DAX-Index erreichte vor den Bundestagswahlen ein Allzeithoch, was das Vertrauen des Marktes in die politische Stabilität widerspiegelt."
positive,es,"El sector tecnológico europeo experimentó un crecimiento significativo, con empresas líderes reportando aumentos en ingresos y expansión de mercado."
positive,fr,"Le secteur technologique européen a connu une croissance significative, avec des entreprises leaders rapportant des augmentations de revenus et une expansion du marché."
positive,de,"Der europäische Technologiesektor verzeichnete ein erhebliches Wachstum, wobei führende Unternehmen Umsatzsteigerungen und Marktexpansion meldeten."
positive,es,"Las exportaciones de la eurozona aumentaron un 5% en el primer trimestre de 2025, impulsadas por la demanda creciente en mercados asiáticos."
positive,fr,"Les exportations de la zone euro ont augmenté de 5% au premier trimestre 2025, stimulées par la demande croissante sur les marchés asiatiques."
positive,de,"Die Exporte der Eurozone stiegen im ersten Quartal 2025 um 5%, angetrieben durch die steigende Nachfrage auf asiatischen Märkten."
positive,es,"El desempleo en España cayó al 12%, su nivel más bajo en una década, indicando una recuperación económica sostenida."
positive,fr,"Le chômage en Espagne est tombé à 12%, son niveau le plus bas en une décennie, indiquant une reprise économique soutenue."
positive,de,"Die Arbeitslosigkeit in Spanien sank auf 12%, den niedrigsten Stand seit einem Jahrzehnt, was auf eine anhaltende wirtschaftliche Erholung hindeutet."
positive,es,"La inversión extranjera directa en Francia aumentó un 15% en 2025, reflejando la confianza de los inversores en la economía francesa."
positive,fr,"Les investissements directs étrangers en France ont augmenté de 15% en 2025, reflétant la confiance des investisseurs dans l'économie française."
positive,de,"Die ausländischen Direktinvestitionen in Frankreich stiegen 2025 um 15%, was das Vertrauen der Investoren in die französische Wirtschaft widerspiegelt."
positive,es,"El sector manufacturero italiano registró un crecimiento del 3% en producción, señalando una recuperación en la industria."
positive,fr,"Le secteur manufacturier italien a enregistré une croissance de 3% de la production, signalant une reprise de l'industrie."
positive,de,"Der italienische Fertigungssektor verzeichnete ein Produktionswachstum von 3%, was auf eine Erholung der Industrie hindeutet."
positive,es,"El mercado inmobiliario en los Países Bajos mostró signos de fortalecimiento, con un aumento del 7% en los precios de la vivienda."
positive,fr,"Le marché immobilier aux Pays-Bas a montré des signes de renforcement, avec une augmentation de 7% des prix de l'immobilier."
positive,de,"Der Immobilienmarkt in den Niederlanden zeigte Anzeichen einer Stärkung, mit einem Anstieg der Immobilienpreise um 7%."
positive,es,"Las startups de tecnología financiera en Europa recaudaron colectivamente €2 mil millones en financiamiento en el primer trimestre de 2025."
positive,fr,"Les startups de technologie financière en Europe ont collectivement levé 2 milliards d'euros de financement au premier trimestre 2025."
positive,de,"Fintech-Startups in Europa sammelten im ersten Quartal 2025 insgesamt 2 Milliarden Euro an Finanzierungen ein."
positive,es,"El turismo en Grecia experimentó un aumento del 10% en llegadas internacionales, impulsando la economía local."
positive,fr,"Le tourisme en Grèce a connu une augmentation de 10% des arrivées internationales, stimulant l'économie locale."
positive,de,"Der Tourismus in Griechenland verzeichnete einen Anstieg von 10% bei internationalen Ankünften, was die lokale Wirtschaft ankurbelt."
positive,es,"El mercado de bonos corporativos europeos mostró estabilidad, con rendimientos atractivos que atraen a inversores globales."
positive,fr,"Le marché des obligations d'entreprises européennes a montré une stabilité, avec des rendements attractifs attirant les investisseurs mondiaux."
positive,de,"Der europäische Unternehmensanleihemarkt zeigte Stabilität, mit attraktiven Renditen, die globale Investoren anziehen."
positive,es,"La producción de energía renovable en Escandinavia aumentó un 8%, reforzando la transición hacia fuentes sostenibles."
positive,fr,"La production d'énergie renouvelable en Scandinavie a augmenté de 8%, renforçant la transition vers des sources durables."
positive,de,"Die Produktion erneuerbarer Energien in Skandinavien stieg um 8%, was den Übergang zu nachhaltigen Quellen stärkt."
positive,es,"El índice de confianza del consumidor en Portugal alcanzó su nivel más alto desde 2010, reflejando optimismo económico."
positive,fr,"L'indice de confiance des consommateurs au Portugal a atteint son niveau le plus élevé depuis 2010, reflétant un optimisme économique."
