sentiment,lang,sentence
positive,es,"La inflación en la eurozona cayó al 2,2% en marzo de 2025, acercándose al objetivo del BCE y aliviando las presiones sobre los consumidores."
positive,fr,"L'inflation dans la zone euro est tombée à 2,2% en mars 2025, se rapprochant de l'objectif de la BCE et allégeant les pressions sur les consommateurs."
positive,de,"Die Inflation in der Eurozone fiel im März 2025 auf 2,2% und näherte sich dem Ziel der EZB, was den Druck auf die Verbraucher verringert."
positive,es,"La tasa de desempleo en la eurozona alcanzó un nuevo mínimo histórico del 6,1% en febrero de 2025, reflejando un mercado laboral robusto."
positive,fr,"Le taux de chômage dans la zone euro a atteint un nouveau plus bas historique de 6,1% en février 2025, reflétant un marché du travail robuste."
positive,de,"Die Arbeitslosenquote in der Eurozone erreichte im Februar 2025 mit 6,1% ein neues historisches Tief, was auf einen robusten Arbeitsmarkt hinweist."
positive,es,"El índice de confianza económica de la eurozona aumentó a 95,2 en enero de 2025, señalando una mejora en el sentimiento empresarial."
positive,fr,"L'indice de confiance économique de la zone euro a augmenté à 95,2 en janvier 2025, indiquant une amélioration du sentiment des entreprises."
positive,de,"Der Wirtschaftsvertrauensindex der Eurozone stieg im Januar 2025 auf 95,2 und signalisiert eine Verbesserung des Geschäftsklimas."
positive,es,"El crecimiento del PIB de la eurozona se prevé que alcance el 1,6% en 2025, cerrando la brecha con Estados Unidos."
positive,fr,"La croissance du PIB de la zone euro devrait atteindre 1,6% en 2025, réduisant l'écart avec les États-Unis."
positive,de,"Das BIP-Wachstum der Eurozone wird für 2025 auf 1,6% prognostiziert, wodurch die Lücke zu den USA geschlossen wird."
positive,es,"El índice STOXX 600 mostró resiliencia en medio de tensiones comerciales, reflejando la fortaleza de las empresas europeas."
positive,fr,"L'indice STOXX 600 a montré une résilience face aux tensions commerciales, reflétant la solidité des entreprises européennes."
positive,de,"Der STOXX 600 Index zeigte Widerstandsfähigkeit trotz Handelskonflikten und spiegelt die Stärke europäischer Unternehmen wider."
positive,es,"La Comisión Europea lanzó una consulta para promover la cooperación industrial en la adquisición y reciclaje de materias primas críticas."
positive,fr,"La Commission européenne a lancé une consultation pour promouvoir la coopération industrielle dans l'acquisition et le recyclage de matières premières critiques."
positive,de,"Die Europäische Kommission hat eine Konsultation gestartet, um die industrielle Zusammenarbeit bei der Beschaffung und dem Recycling kritischer Rohstoffe zu fördern."
positive,es,"La confianza del consumidor en la eurozona mejoró en marzo de 2025, indicando una perspectiva más optimista de los hogares."
positive,fr,"La confiance des consommateurs dans la zone euro s'est améliorée en mars 2025, indiquant une perspective plus optimiste des ménages."
positive,de,"Das Verbrauchervertrauen in der Eurozone verbesserte sich im März 2025 und deutet auf eine optimistischere Sicht der Haushalte hin."
