sentiment,lang,sentence
positive,es,"Las acciones europeas superaron al S&P 500 en el primer trimestre de 2025, impulsadas por valoraciones bajas y estímulos fiscales."
positive,fr,"Les actions européennes ont surpassé le S&P 500 au premier trimestre 2025, soutenues par des valorisations faibles et des mesures de relance fiscale."
positive,de,"Europäische Aktien übertrafen den S&P 500 im ersten Quartal 2025, angetrieben durch niedrige Bewertungen und fiskalische Anreize."
positive,es,"El índice Euro Stoxx 50 aumentó un 11,9% tras las elecciones, reflejando la confianza de los inversores en las reformas europeas."
positive,fr,"L'indice Euro Stoxx 50 a augmenté de 11,9% après les élections, reflétant la confiance des investisseurs dans les réformes européennes."
positive,de,"Der Euro Stoxx 50 stieg nach den Wahlen um 11,9%, was das Vertrauen der Investoren in europäische Reformen widerspiegelt."
positive,es,"El sector bancario europeo mostró resiliencia con sólidos resultados en el cuarto trimestre, impulsando el optimismo para 2025."
positive,fr,"Le secteur bancaire européen a montré une résilience avec de solides résultats au quatrième trimestre, renforçant l'optimisme pour 2025."
positive,de,"Der europäische Bankensektor zeigte mit starken Ergebnissen im vierten Quartal Resilienz, was den Optimismus für 2025 stärkt."
positive,es,"Las pequeñas empresas del Reino Unido expresaron optimismo para 2025, con un 92% esperando crecimiento a pesar de los desafíos económicos."
positive,fr,"Les petites entreprises britanniques ont exprimé leur optimisme pour 2025, 92% s'attendant à une croissance malgré les défis économiques."
positive,de,"Kleine Unternehmen im Vereinigten Königreich äußerten Optimismus für 2025, wobei 92% trotz wirtschaftlicher Herausforderungen Wachstum erwarten."
positive,es,"El plan de estímulo económico de Alemania de €500 mil millones busca revitalizar la infraestructura y fortalecer la industria."
positive,fr,"Le plan de relance économique de l'Allemagne de 500 milliards d'euros vise à revitaliser les infrastructures et à renforcer l'industrie."
positive,de,"Deutschlands Konjunkturpaket von 500 Milliarden Euro zielt darauf ab, die Infrastruktur zu revitalisieren und die Industrie zu stärken."
positive,es,"La iniciativa ReArm Europe de la UE propone una inversión de €800 mil millones en defensa, estimulando el crecimiento económico."
