sentiment,lang,sentence
negative,es,"Las acciones bancarias globales cayeron un 8% debido a los temores de recesión tras los nuevos aranceles impuestos por el presidente Trump."
negative,fr,"Les actions bancaires mondiales ont chuté de 8% en raison des craintes de récession après les nouveaux tarifs imposés par le président Trum"p.
negative,de,"Die globalen Bankaktien fielen um 8% aufgrund von Rezessionsängsten nach den neuen Zöllen von Präsident Trump."
negative,es,"El índice Nasdaq entró en territorio bajista después de una caída del 6% en un solo día."
negative,fr,"Le Nasdaq est entré en territoire baissier après une chute de 6% en une seule journée."
negative,de,"Der Nasdaq geriet nach einem Rückgang von 6% an einem einzigen Tag in den Bärenmarkt."
negative,es,"J.P.Morgan aumentó las probabilidades de una recesión global al 60% debido a las tensiones comerciales."
negative,fr,"J.P.Morgan a augmenté les probabilités d'une récession mondiale à 60% en raison des tensions commerciales."
negative,de,"J.P.Morgan erhöhte die Wahrscheinlichkeit einer globalen Rezession auf 60% aufgrund der Handelskonflikte."
negative,es,"La confianza del consumidor en EE.UU. cayó un 11% en marzo debido a la ansiedad por la inflación."
negative,fr,"La confiance des consommateurs aux États-Unis a chuté de 11% en mars en raison de l'anxiété liée à l'inflation."
negative,de,"Das Verbrauchervertrauen in den USA fiel im März um 11% aufgrund von Inflationsängsten."
negative,es,"El índice S&P 500 cayó un 7,5% en el primer trimestre de 2025 tras la imposición de aranceles por parte del presidente Trump."
negative,fr,"L'indice S&P 500 a chuté de 7,5% au premier trimestre 2025 après l'imposition de tarifs par le président Trump."
negative,de,"Der S&P 500 Index fiel im ersten Quartal 2025 um 7,5% nach der Einführung von Zöllen durch Präsident Trump."
negative,es,"La moral de los inversores cayó drásticamente, con un 45% esperando que los precios de las acciones disminuyan."
negative,fr,"Le moral des investisseurs a chuté drastiquement, avec 45% s'attendant à une baisse des prix des actions."
negative,de,"Die Stimmung der Investoren sank drastisch, wobei 45% einen Rückgang der Aktienkurse erwarten."
negative,es,"El índice de volatilidad VIX alcanzó su nivel más alto desde agosto debido a la incertidumbre del mercado."
negative,fr,"L'indice de volatilité VIX a atteint son niveau le plus élevé depuis août en raison de l'incertitude du marché."
negative,de,"Der Volatilitätsindex VIX erreichte aufgrund der Marktunsicherheit seinen höchsten Stand seit August."
negative,es,"El mercado de valores experimentó su peor día desde 2020 tras la imposición de nuevos aranceles."
negative,fr,"Le marché boursier a connu sa pire journée depuis 2020 après l'imposition de nouveaux tarifs."
negative,de,"Der Aktienmarkt erlebte seinen schlimmsten Tag seit 2020 nach der Einführung neuer Zölle."
negative,es,"Las acciones de tecnología cayeron significativamente debido a las preocupaciones sobre la guerra comercial."
negative,fr,"Les actions technologiques ont chuté de manière significative en raison des inquiétudes concernant la guerre commerciale."
negative,de,"Technologieaktien fielen erheblich aufgrund von Bedenken hinsichtlich des Handelskriegs."
negative,es,"El rendimiento de los bonos del Tesoro de EE.UU. cayó al 2,5% en medio de la huida hacia activos seguros."
negative,fr,"Le rendement des bons du Trésor américain est tombé à 2,5% en raison de la fuite vers des actifs sûrs."
negative,de,"Die Rendite der US-Staatsanleihen fiel auf 2,5% aufgrund der Flucht in sichere Anlagen."
negative,es,"El precio del petróleo cayó a mínimos de cuatro años debido a las preocupaciones sobre la demanda global."
negative,fr,"Le prix du pétrole est tombé à son plus bas niveau depuis quatre ans en raison des inquiétudes concernant la demande mondiale."
negative,de,"Der Ölpreis fiel auf ein Vierjahrestief aufgrund von Bedenken hinsichtlich der globalen Nachfrage."
negative,es,"El oro subió un 3% ya que los inversores buscaron refugio en activos seguros."
negative,fr,"L'or a augmenté de 3% alors que les investisseurs recherchaient des valeurs refuges."
negative,de,"Gold stieg um 3%, da Investoren sichere Anlagen suchten."
negative,es,"El índice de gestores de compras manufactureras cayó a 48, indicando contracción en el sector."
negative,fr,"L'indice des directeurs d'achat manufacturiers est tombé à 48, indiquant une contraction du secteur."
negative,de,"Der Einkaufsmanagerindex für das verarbeitende Gewerbe fiel auf 48 und signalisiert eine Schrumpfung des Sektors."
negative,es,"Las solicitudes de desempleo aumentaron en 20,000 la semana pasada, señalando debilidad en el mercado laboral."
negative,fr,"Les demandes d'allocations chômage ont augmenté de 20 000 la semaine dernière, signalant une faiblesse du marché du travail."
negative,de,"Die Arbeitslosenmeldungen stiegen letzte Woche um 20.000 und deuten auf eine Schwäche des Arbeitsmarktes hin."
negative,es,"El índice de confianza empresarial cayó a su nivel más bajo en cinco años debido a la incertidumbre económica."
negative,fr,"L'indice de confiance des entreprises est tombé à son niveau le plus bas depuis cinq ans en raison de l'incertitude économique."
negative,de,"Der Geschäftsklimaindex fiel aufgrund wirtschaftlicher Unsicherheit auf den niedrigsten Stand seit fünf Jahren."
negative,es,"Las ventas minoristas disminuyeron un 0,5% el mes pasado, reflejando una menor confianza del consumidor."
negative,fr,"Les ventes au détail ont diminué de 0,5% le mois dernier, reflétant une baisse de la confiance des consommateurs."
negative,de,"Die Einzelhandelsumsätze sanken im vergangenen Monat um 0,5% und spiegeln ein geringeres Verbrauchervertrauen wider."
negative,es,"El índice de precios al consumidor aumentó un 0,4% en marzo, avivando los temores de inflación."
negative,fr,"L'indice des prix à la consommation a augmenté de 0,4% en mars, alimentant les craintes d'inflation."
negative,de,"Der Verbraucherpreisindex stieg im März um 0,4% und schürte Inflationsängste."
negative,es,"El mercado inmobiliario mostró signos de enfriamiento, con una caída del 2% en las ventas de viviendas nuevas."
negative,fr,"Le marché immobilier a montré des signes de ralentissement, avec une baisse de 2% des ventes de logements neufs."
